Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
48745,Man,31.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices",15,9.0,Employed full-time,47563.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,2 to 9 employees,35.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,5-10y,3.0
48747,Man,,Sri Lanka,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,0,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,Remote work options,,
48748,Man,22.0,Iran,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Developer, back-end;Developer, full-stack",4,4.0,Employed full-time,14256.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,10 to 19 employees,80.0,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,2-5y,3.0
48749,Man,61.0,Germany,Not stated,"Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Educator",27,15.0,"Independent contractor, freelancer, or self-employed",25944.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a decade,"Just me - I am a freelancer, sole proprietor, etc.",40.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",10-20y,3.0
48750,Woman,49.0,Bulgaria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, mobile",27,22.0,Employed full-time,,Slightly satisfied,I am not interested in new job opportunities,Once every few years,20 to 99 employees,45.0,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,20y+,3.0
48751,Man,32.0,Sweden,Some college/university study without earning a degree,"Developer, back-end;Developer, full-stack;Developer, QA or test;Engineer, data",18,10.0,Employed full-time,98185.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,500 to 999 employees,37.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",5-10y,4.0
48752,Man,,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",7,4.0,Employed full-time,,Neither satisfied nor dissatisfied,I am not interested in new job opportunities,Every few months,"5,000 to 9,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be",2-5y,2.0
48753,Man,37.0,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",20,15.0,Employed full-time,,Very dissatisfied,I am not interested in new job opportunities,Every few months,"1,000 to 4,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",10-20y,0.0
48754,Woman,27.0,Malaysia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end",7,2.0,Employed full-time,11532.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,75.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",0-2y,3.0
48757,Man,32.0,United Kingdom,Some college/university study without earning a degree,"Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist;Product manager;System administrator",15,10.0,Employed full-time,34900.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,37.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",5-10y,2.0
48760,Man,28.0,Greece,"Professional degree (JD, MD, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist",10,6.0,Employed full-time,12107.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,40.0,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",5-10y,2.0
48761,Woman,29.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",12,7.0,Employed full-time,86000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"1,000 to 4,999 employees",40.0,Flex time or a flexible schedule;Specific department or team I’d be working on;Remote work options,5-10y,3.0
48762,Man,32.0,Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Engineer, data",15,10.0,Employed full-time,28308.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"1,000 to 4,999 employees",40.0,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",5-10y,3.0
48763,Man,21.0,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,6,,Student,,Not stated,Not stated,Once a year,Not stated,,Not stated,,
48764,Man,21.0,Greece,Some college/university study without earning a degree,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",4,1.0,Employed full-time,9837.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,2 to 9 employees,25.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",0-2y,3.0
48765,Man,34.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;System administrator",19,5.0,Employed part-time,54049.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,30.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,2-5y,1.0
48766,Man,35.0,Viet Nam,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;System administrator",6,9.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"1,000 to 4,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",5-10y,3.0
48767,Man,27.0,Bangladesh,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Developer, mobile",10,4.0,"Independent contractor, freelancer, or self-employed",2820.0,Very satisfied,I am actively looking for a job,Once a year,"Just me - I am a freelancer, sole proprietor, etc.",40.0,Financial performance or funding status of the company or organization;How widely used or impactful my work output would be;Opportunities for professional development,2-5y,4.0
48768,Man,28.0,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Engineer, data",7,5.0,Employed full-time,69468.0,Very satisfied,I am not interested in new job opportunities,Once every few years,100 to 499 employees,37.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",2-5y,4.0
48769,Man,36.0,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",28,1.0,Employed full-time,40476.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,38.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,0-2y,4.0
48771,Man,38.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile;Engineering manager",24,15.0,Employed full-time,103408.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,40.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,10-20y,1.0
48773,Man,27.0,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",7,4.0,Employed full-time,11880.0,Very satisfied,I am actively looking for a job,Every few months,100 to 499 employees,50.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",2-5y,4.0
48774,Man,28.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20,6.0,Employed full-time,96945.0,Very satisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,37.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,5-10y,4.0
48775,Man,37.0,Russian Federation,"Professional degree (JD, MD, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Product manager",21,19.0,Employed full-time,22644.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,50.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",10-20y,3.0
48776,Man,48.0,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, full-stack;Developer, mobile",40,3.0,Employed full-time,77832.0,Very satisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,37.0,Not stated,2-5y,4.0
48777,Man,28.0,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;Developer, mobile;DevOps specialist;System administrator",15,2.0,Employed full-time,86844.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"5,000 to 9,999 employees",37.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",0-2y,4.0
48778,Man,32.0,China,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile",14,7.0,Employed full-time,64301.0,Slightly satisfied,I am not interested in new job opportunities,Every few months,"10,000 or more employees",56.0,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development;Family friendliness",5-10y,3.0
48779,Man,26.0,Greece,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",9,3.0,"Independent contractor, freelancer, or self-employed",21620.0,Neither satisfied nor dissatisfied,I am actively looking for a job,Once a year,"1,000 to 4,999 employees",150.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,2-5y,2.0
48781,Man,31.0,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;System administrator",23,8.0,Employed full-time,30108.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,40.0,Industry that I’d be working in;Flex time or a flexible schedule;Remote work options,5-10y,3.0
48782,Man,39.0,Greece,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",9,7.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,40.0,Industry that I’d be working in;Office environment or company culture;Family friendliness,5-10y,3.0
48783,Man,23.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",6,2.0,Employed full-time,100524.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,2 to 9 employees,8.0,"Languages, frameworks, and other technologies I’d be working with",0-2y,3.0
48784,Man,28.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not stated,2,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,,
48785,Man,34.0,Bulgaria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, QA or test;DevOps specialist",20,7.0,Employed full-time,43098.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,50.0,Flex time or a flexible schedule;Remote work options;Family friendliness,5-10y,1.0
48786,Man,27.0,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",7,3.0,Employed full-time,8556.0,Very satisfied,I am not interested in new job opportunities,Once every few years,500 to 999 employees,8.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,2-5y,4.0
48787,Man,24.0,Malaysia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Educator",6,2.0,Employed full-time,1440.0,Very satisfied,I am actively looking for a job,Every few months,2 to 9 employees,32.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,0-2y,4.0
48788,Man,55.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Developer, back-end",33,33.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",40.0,Not stated,20y+,3.0
48789,Man,41.0,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,17,9.0,Employed full-time,75669.0,Very satisfied,I am not interested in new job opportunities,Once a decade,"1,000 to 4,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development;Family friendliness",5-10y,4.0
48790,Man,32.0,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Engineering manager;Product manager;Senior executive/VP",20,13.0,Employed full-time,152473.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,45.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",10-20y,3.0
48791,Man,35.0,Malaysia,Some college/university study without earning a degree,"Developer, front-end",11,9.0,Employed full-time,24528.0,Very dissatisfied,I am not interested in new job opportunities,Every few months,"1,000 to 4,999 employees",42.5,Not stated,5-10y,0.0
48792,Man,38.0,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, QA or test;Engineer, data",29,15.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,I am actively looking for a job,Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",10-20y,3.0
48793,Man,36.0,Greece,Some college/university study without earning a degree,"Developer, back-end;Developer, full-stack",12,7.0,Employed full-time,9732.0,Slightly satisfied,I am not interested in new job opportunities,Not stated,10 to 19 employees,42.0,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,5-10y,3.0
48794,Man,68.0,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,42,40.0,Employed full-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,"5,000 to 9,999 employees",40.0,Remote work options;Opportunities for professional development,20y+,4.0
48795,Man,35.0,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Engineering manager",24,15.0,Employed full-time,140088.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,10 to 19 employees,40.0,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,10-20y,1.0
48796,Man,38.0,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",20,15.0,"Independent contractor, freelancer, or self-employed",72036.0,Slightly dissatisfied,I am actively looking for a job,Once a year,"Just me - I am a freelancer, sole proprietor, etc.",45.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",10-20y,1.0
48797,Man,,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",13,14.0,Employed full-time,73678.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,37.5,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,10-20y,1.0
48798,Woman,27.0,Israel,Some college/university study without earning a degree,"Developer, back-end",4,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Once a year,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,
48799,Man,32.0,Switzerland,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Scientist,20,11.0,Employed full-time,97584.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"10,000 or more employees",45.0,Specific department or team I’d be working on;Opportunities for professional development;Family friendliness,10-20y,0.0
48800,Man,33.0,Switzerland,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Scientist,22,13.0,Employed full-time,92500.0,Very satisfied,I am actively looking for a job,Once a year,100 to 499 employees,45.0,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,10-20y,4.0
48801,Man,23.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Engineer, data",7,2.0,Employed full-time,36753.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,39.0,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,0-2y,1.0
48802,Man,24.0,India,Not stated,"Database administrator;Developer, back-end",7,2.0,Employed full-time,,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,42.5,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",0-2y,2.0
48803,Man,28.0,Turkey,Some college/university study without earning a degree,"Developer, back-end",10,6.0,Employed full-time,19728.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",5-10y,2.0
48804,Woman,35.0,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",11,9.0,Employed full-time,24012.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,10 to 19 employees,40.0,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,5-10y,4.0
48805,Man,31.0,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,12,12.0,Employed full-time,30267.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,36.0,Office environment or company culture;Opportunities for professional development;Family friendliness,10-20y,3.0
48806,Man,34.0,Georgia,Not stated,"Developer, back-end",5,5.0,Employed full-time,19080.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,500 to 999 employees,45.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,2-5y,2.0
48807,Woman,,New Zealand,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not stated,6,0.0,Employed full-time,1000000.0,Slightly satisfied,I am actively looking for a job,Once every few years,20 to 99 employees,50.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",0-2y,3.0
48808,Man,35.0,Israel,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist;Scientist,5,3.0,Employed full-time,,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"1,000 to 4,999 employees",45.0,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be",2-5y,1.0
48809,Man,28.0,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack",5,4.0,Employed full-time,13962.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,500 to 999 employees,45.0,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Office environment or company culture,2-5y,2.0
48810,Man,27.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",6,5.0,Employed full-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",2-5y,4.0
48811,Man,38.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end",4,3.0,Employed full-time,778308.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,40.0,Industry that I’d be working in;Remote work options;Opportunities for professional development,2-5y,4.0
48812,Man,42.0,Greece,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Product manager",23,23.0,Employed full-time,,Not stated,Not stated,Once every few years,Not stated,,Not stated,20y+,
48814,Man,22.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10,4.0,Employed full-time,54000.0,Neither satisfied nor dissatisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,40.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,2-5y,2.0
48815,Man,29.0,Estonia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;DevOps specialist;System administrator",17,5.0,Employed full-time,51888.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,44.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,2-5y,4.0
48816,Man,28.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,4,1.0,Employed full-time,54049.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"10,000 or more employees",45.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",0-2y,3.0
48817,Man,22.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,6,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,
48819,Man,,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, full-stack;System administrator",23,16.0,Employed full-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,30.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Family friendliness",10-20y,4.0
48820,Man,36.0,Croatia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",15,8.0,Employed full-time,40056.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,10 to 19 employees,40.0,Flex time or a flexible schedule;Specific department or team I’d be working on;Office environment or company culture,5-10y,3.0
48821,Man,31.0,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",14,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Once a year,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,
48822,Man,39.0,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Designer;Developer, back-end;Engineering manager",29,20.0,Employed full-time,58368.0,Slightly satisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",10-20y,3.0
48824,Man,,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",25,23.0,Employed full-time,116249.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization",20y+,1.0
48825,Man,28.0,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",6,3.0,Employed full-time,198460.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",43.0,Not stated,2-5y,3.0
48826,Man,22.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","DevOps specialist;Engineer, site reliability",6,0.0,Employed full-time,10471.0,Slightly dissatisfied,I am actively looking for a job,Every few months,"10,000 or more employees",50.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",0-2y,1.0
48827,Man,22.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,6,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,
48828,Man,20.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,4,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,,
48829,Man,33.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;DevOps specialist",20,12.0,Employed full-time,196000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"10,000 or more employees",35.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,10-20y,4.0
48831,Man,27.0,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",8,3.0,Employed full-time,87552.0,Very satisfied,I am not interested in new job opportunities,Once every few years,"1,000 to 4,999 employees",42.0,Not stated,2-5y,4.0
48832,Man,26.0,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Developer, back-end;DevOps specialist;Engineer, data;System administrator",16,4.0,Employed full-time,86478.0,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",2-5y,4.0
48833,Man,38.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",22,15.0,Employed full-time,54480.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a decade,20 to 99 employees,42.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",10-20y,4.0
48834,Man,23.0,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,5,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,
48835,Woman,32.0,Israel,"Other doctoral degree (Ph.D., Ed.D., etc.)",Data scientist or machine learning specialist,2,,Employed part-time,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",,
48836,Man,25.0,Croatia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",10,3.0,Employed full-time,26124.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",2-5y,3.0
48837,Man,35.0,Russian Federation,"Professional degree (JD, MD, etc.)","Developer, QA or test;DevOps specialist",15,10.0,Employed full-time,22644.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",5-10y,4.0
48838,Man,25.0,Croatia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,17,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,
